dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time
pca_50,rbf,0.1,0.001,,1000,0.4733882681466639,0.5503115588799119,38.27027772786096
pca_50,rbf,0.1,0.01,,1000,0.48668497800827026,0.5483403149992228,47.130805920111015
pca_50,rbf,0.1,0.1,,1000,0.475484331138432,0.548838613089174,50.3979479521513
pca_50,rbf,0.1,1,,1000,0.5047211640048772,0.5919839499983937,62.30779244587757
pca_50,rbf,0.1,10,,1000,0.47543619479984045,0.5482164351269603,51.14369818195701
pca_50,rbf,0.1,100,,1000,0.4853957290761173,0.548336953856051,50.36430863197893
pca_50,rbf,0.1,1000,,1000,0.4781793288420886,0.5506975748576224,50.37304325797595
pca_50,rbf,1,0.001,,1000,0.4755409969948232,0.5472328481264412,19.22181760589592
pca_50,rbf,1,0.01,,1000,0.4742201690096408,0.5478578899055719,38.592804486863315
pca_50,rbf,1,0.1,,1000,0.47594106406904757,0.5495578958652914,49.762001659022644
pca_50,rbf,1,1,,1000,0.4851511709857732,0.5489398268982768,62.28849950712174
pca_50,rbf,1,10,,1000,0.47596528311260045,0.5511761019006371,51.222017312888056
pca_50,rbf,1,100,,1000,0.47500943415798247,0.5481529978569597,50.324052174109966
pca_50,rbf,1,1000,,1000,0.4743146998807788,0.5226250581908971,50.30279578687623
pca_50,rbf,10,0.001,,1000,0.47428584285080433,0.5203188159503043,12.089346210006624
pca_50,rbf,10,0.01,,1000,0.4745749901048839,0.5237050151918083,37.05522248195484
pca_50,rbf,10,0.1,,1000,0.4794786439742893,0.5236216681078076,49.40864201495424
pca_50,rbf,10,1,,1000,0.47575500002130866,0.5244322149083018,61.809667628025636
pca_50,rbf,10,10,,1000,0.47485145507380366,0.5583175627980381,50.58547432906926
pca_50,rbf,10,100,,1000,0.4843957768753171,0.5489024280104786,49.839894474018365
pca_50,rbf,10,1000,,1000,0.4749183668754995,0.5494302348233759,49.81306373211555
pca_50,rbf,100,0.001,,1000,0.4763053229544312,0.5482176207005978,10.302130345953628
pca_50,rbf,100,0.01,,1000,0.47404535207897425,0.5635876469314098,38.11406854214147
pca_50,rbf,100,0.1,,1000,0.47522512497380376,0.5653203481342643,48.593887260882184
pca_50,rbf,100,1,,1000,0.4886168739758432,0.550128246191889,60.83220248087309
pca_50,rbf,100,10,,1000,0.4746411230880767,0.550172908930108,49.72132145683281
pca_50,rbf,100,100,,1000,0.47463583992794156,0.5485013900324702,48.913229392142966
