dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time,converged
pca_50,linear,0.001,,,1000,0.8055919003672898,0.5957466997206211,19.66125820018351,DID NOT CONVERGE
pca_50,linear,0.01,,,1000,0.7944689998403192,0.6041366998106241,13.001169200055301,DID NOT CONVERGE
pca_50,linear,0.1,,,1000,0.8424662002362311,0.6080760001204908,10.837838500272483,DID NOT CONVERGE
pca_50,linear,1,,,1000,0.7720730998553336,0.5952920001000166,12.577810700051486,DID NOT CONVERGE
pca_50,linear,10,,,1000,0.7672002003528178,0.6064512999728322,11.869868000037968,DID NOT CONVERGE
pca_50,linear,100,,,1000,0.8059326000511646,0.6023258999921381,13.471168600022793,DID NOT CONVERGE
pca_50,linear,1000,,,1000,0.9124505999498069,0.6938743996433914,17.20539789972827,DID NOT CONVERGE
pca_100,linear,0.001,,,1000,1.2691202000714839,0.840389400254935,54.30225059995428,DID NOT CONVERGE
pca_100,linear,0.01,,,1000,0.7902119997888803,0.6790024000220001,28.734280500095338,DID NOT CONVERGE
pca_100,linear,0.1,,,1000,0.7405010000802577,0.6327606001868844,28.794501999858767,DID NOT CONVERGE
pca_100,linear,1,,,1000,0.7113822000101209,0.6654654000885785,30.30912660015747,DID NOT CONVERGE
pca_100,linear,10,,,1000,0.7203891999088228,0.6275863000191748,30.72451899992302,DID NOT CONVERGE
pca_100,linear,100,,,1000,0.7244223998859525,0.6687525999732316,30.703020400367677,DID NOT CONVERGE
pca_100,linear,1000,,,1000,0.707776099909097,0.6373268999159336,30.547749999910593,DID NOT CONVERGE
pca_200,linear,0.001,,,1000,0.7311472999863327,0.7070230999961495,72.37031779997051,DID NOT CONVERGE
pca_200,linear,0.01,,,1000,0.7123339003883302,0.6864261999726295,51.5186181999743,DID NOT CONVERGE
pca_200,linear,0.1,,,1000,0.752091399859637,0.7747055999934673,58.48713310016319,DID NOT CONVERGE
pca_200,linear,1,,,1000,0.7428434998728335,0.7749995002523065,56.48691579978913,DID NOT CONVERGE
pca_200,linear,10,,,1000,0.7157216998748481,0.6951823998242617,51.65185909997672,DID NOT CONVERGE
pca_200,linear,100,,,1000,0.7363888998515904,0.6881175003945827,56.43851629970595,DID NOT CONVERGE
pca_200,linear,1000,,,1000,0.7295045000500977,0.6681027002632618,52.09611239982769,DID NOT CONVERGE
lda,linear,0.001,,,1000,0.7465392998419702,5.61810510000214,15.045477599836886,DID NOT CONVERGE
lda,linear,0.01,,,1000,0.8304121000692248,6.5283109000884,9.093998699914664,DID NOT CONVERGE
lda,linear,0.1,,,1000,0.8019605996087193,6.294844999909401,8.686724700033665,DID NOT CONVERGE
lda,linear,1,,,1000,0.7581845000386238,6.5667671002447605,6.431877300143242,DID NOT CONVERGE
lda,linear,10,,,1000,0.8100384999997914,6.610078500118107,5.072831800207496,DID NOT CONVERGE
lda,linear,100,,,1000,0.7649020003154874,6.230558400042355,4.671086799819022,DID NOT CONVERGE
lda,linear,1000,,,1000,0.7783576003275812,6.809289500117302,4.418049999978393,DID NOT CONVERGE
pca_50,rbf,0.001,0.001,,1000,0.36553808907046914,0.39605837198905647,50.14796893019229,DID NOT CONVERGE
pca_50,rbf,0.001,0.01,,1000,0.37761304108425975,0.39606028888374567,50.17916286201216,DID NOT CONVERGE
pca_50,rbf,0.001,0.1,,1000,0.3627870879136026,0.42202017502859235,50.414538027951494,DID NOT CONVERGE
pca_50,rbf,0.001,1,,1000,0.3598703760653734,0.42152096307836473,62.106439280090854,DID NOT CONVERGE
pca_50,rbf,0.001,10,,1000,0.3577922841068357,0.4217972659971565,51.08767014998011,DID NOT CONVERGE
pca_50,rbf,0.001,100,,1000,0.3603033749386668,0.4218147611245513,50.29648421891034,DID NOT CONVERGE
pca_50,rbf,0.001,1000,,1000,0.36017397698014975,0.4214433659799397,50.27893460216001,DID NOT CONVERGE
pca_50,rbf,0.01,0.001,,1000,0.35837786504998803,0.42139547085389495,50.13866565003991,DID NOT CONVERGE
pca_50,rbf,0.01,0.01,,1000,0.3952728849835694,0.4219360079150647,50.181143356021494,DID NOT CONVERGE
pca_50,rbf,0.01,0.1,,1000,0.38653016090393066,0.42113658506423235,50.338883448857814,DID NOT CONVERGE
pca_50,rbf,0.01,1,,1000,0.3941254860255867,0.4217824798543006,62.14829536387697,DID NOT CONVERGE
pca_50,rbf,0.01,10,,1000,0.3589896820485592,0.4212967960629612,51.12444111192599,DID NOT CONVERGE
pca_50,rbf,0.01,100,,1000,0.35913259885273874,0.42053211596794426,50.369740947149694,DID NOT CONVERGE
pca_50,rbf,0.01,1000,,1000,0.3584242051001638,0.42173921992070973,50.35551875596866,DID NOT CONVERGE
pca_50,rbf,0.1,0.001,,1000,0.3593158391304314,0.42280360287986696,38.27027772786096,DID NOT CONVERGE
pca_50,rbf,0.1,0.01,,1000,0.3726311270147562,0.42128622299060225,47.130805920111015,DID NOT CONVERGE
pca_50,rbf,0.1,0.1,,1000,0.36011908506043255,0.42160625709220767,50.3979479521513,DID NOT CONVERGE
pca_50,rbf,0.1,1,,1000,0.390638894867152,0.46508388104848564,62.30779244587757,DID NOT CONVERGE
pca_50,rbf,0.1,10,,1000,0.3604895200114697,0.42115459707565606,51.14369818195701,DID NOT CONVERGE
pca_50,rbf,0.1,100,,1000,0.36050622002221644,0.4210385759361088,50.36430863197893,DID NOT CONVERGE
pca_50,rbf,0.1,1000,,1000,0.3617811358999461,0.4212748468853533,50.37304325797595,DID NOT CONVERGE
pca_50,rbf,1,0.001,,1000,0.3605794960167259,0.4200479141436517,19.22181760589592,DID NOT CONVERGE
pca_50,rbf,1,0.01,,1000,0.3597742849960923,0.42033250792883337,38.592804486863315,DID NOT CONVERGE
pca_50,rbf,1,0.1,,1000,0.3611107310280204,0.42134232399985194,49.762001659022644,DID NOT CONVERGE
pca_50,rbf,1,1,,1000,0.37108700699172914,0.42166453087702394,62.28849950712174,DID NOT CONVERGE
pca_50,rbf,1,10,,1000,0.3617902749683708,0.4238622470293194,51.222017312888056,DID NOT CONVERGE
pca_50,rbf,1,100,,1000,0.3601092020981014,0.4217315688729286,50.324052174109966,DID NOT CONVERGE
pca_50,rbf,1,1000,,1000,0.3602449770551175,0.3956639692187309,50.30279578687623,DID NOT CONVERGE
pca_50,rbf,10,0.001,,1000,0.3599251629784703,0.39583349507302046,12.089346210006624,DID NOT CONVERGE
pca_50,rbf,10,0.01,,1000,0.3603122681379318,0.3968840450979769,37.05522248195484,DID NOT CONVERGE
pca_50,rbf,10,0.1,,1000,0.365325067890808,0.3974597160704434,49.40864201495424,DID NOT CONVERGE
pca_50,rbf,10,1,,1000,0.3613032759167254,0.39771531894803047,61.809667628025636,DID NOT CONVERGE
pca_50,rbf,10,10,,1000,0.3601540490053594,0.43093802593648434,50.58547432906926,DID NOT CONVERGE
pca_50,rbf,10,100,,1000,0.3603041940368712,0.4209909699857235,49.839894474018365,DID NOT CONVERGE
pca_50,rbf,10,1000,,1000,0.3604156910441816,0.4217250880319625,49.81306373211555,DID NOT CONVERGE
pca_50,rbf,100,0.001,,1000,0.3616096309851855,0.42110623489134014,10.302130345953628,DID NOT CONVERGE
pca_50,rbf,100,0.01,,1000,0.36000385601073503,0.43599144788458943,38.11406854214147,DID NOT CONVERGE
pca_50,rbf,100,0.1,,1000,0.36015305994078517,0.4374836541246623,48.593887260882184,DID NOT CONVERGE
pca_50,rbf,100,1,,1000,0.37362298695370555,0.4224530931096524,60.83220248087309,DID NOT CONVERGE
pca_50,rbf,100,10,,1000,0.36059298110194504,0.42202054406516254,49.72132145683281,DID NOT CONVERGE
pca_50,rbf,100,100,,1000,0.3602789908181876,0.4206605330109596,48.913229392142966,DID NOT CONVERGE
pca_50,rbf,100,1000,,1000,0.3599733719602227,0.4218200279865414,49.6863903850317,DID NOT CONVERGE
pca_50,rbf,1000,0.001,,1000,0.3606910870876163,0.42233608406968415,9.974080840824172,DID NOT CONVERGE
pca_50,rbf,1000,0.01,,1000,0.3602690207771957,0.43762412713840604,35.434888936113566,DID NOT CONVERGE
pca_50,rbf,1000,0.1,,1000,0.3600724060088396,0.4371468189638108,54.14806171017699,DID NOT CONVERGE
pca_50,rbf,1000,1,,1000,0.3946103991474956,0.4229128079023212,68.0031906159129,DID NOT CONVERGE
pca_50,rbf,1000,10,,1000,0.35979466885328293,0.42140985606238246,56.64498246787116,DID NOT CONVERGE
pca_50,rbf,1000,100,,1000,0.3617478290107101,0.4224126578774303,55.79618521290831,DID NOT CONVERGE
pca_50,rbf,1000,1000,,1000,0.36237131897360086,0.4211383250076324,55.861906765028834,DID NOT CONVERGE
pca_100,rbf,0.001,0.001,,1000,0.3937893209513277,0.5032622970174998,105.43839165009558,DID NOT CONVERGE
pca_100,rbf,0.001,0.01,,1000,0.37038967409171164,0.5027745270635933,103.16513930214569,DID NOT CONVERGE
pca_100,rbf,0.001,0.1,,1000,0.3990592951886356,0.5041391451377422,106.31481033284217,DID NOT CONVERGE
pca_100,rbf,0.001,1,,1000,0.39881581207737327,0.5019880561158061,119.44618393993005,DID NOT CONVERGE
pca_100,rbf,0.001,10,,1000,0.35962599283084273,0.5035837839823216,104.7822473871056,DID NOT CONVERGE
pca_100,rbf,0.001,100,,1000,0.3604324741754681,0.5015645669773221,107.03522674692795,DID NOT CONVERGE
pca_100,rbf,0.001,1000,,1000,0.36048383289016783,0.5069371180143207,104.6538877680432,DID NOT CONVERGE
pca_100,rbf,0.01,0.001,,1000,0.3600396339315921,0.5043143390212208,103.87007154989988,DID NOT CONVERGE
pca_100,rbf,0.01,0.01,,1000,0.3955356441438198,0.505397035041824,104.58270632685162,DID NOT CONVERGE
pca_100,rbf,0.01,0.1,,1000,0.3985920432023704,0.507708887802437,103.71436988306232,DID NOT CONVERGE
pca_100,rbf,0.01,1,,1000,0.3996958858333528,0.5048724508378655,120.5385130380746,DID NOT CONVERGE
pca_100,rbf,0.01,10,,1000,0.3600855611730367,0.5034023390617222,104.93255446106195,DID NOT CONVERGE
pca_100,rbf,0.01,100,,1000,0.3598964780103415,0.5043926618527621,108.0722316710744,DID NOT CONVERGE
pca_100,rbf,0.01,1000,,1000,0.3601769239176065,0.5041138711385429,104.52744847210124,DID NOT CONVERGE
pca_100,rbf,0.1,0.001,,1000,0.3595610798802227,0.5023069998715073,82.16108590899967,DID NOT CONVERGE
pca_100,rbf,0.1,0.01,,1000,0.3980083840433508,0.5042176339775324,97.83251227997243,DID NOT CONVERGE
pca_100,rbf,0.1,0.1,,1000,0.38922253903001547,0.5064815860241652,103.81817025505006,DID NOT CONVERGE
pca_100,rbf,0.1,1,,1000,0.399046576814726,0.5032075110357255,116.06193273095414,DID NOT CONVERGE
pca_100,rbf,0.1,10,,1000,0.35978375119157135,0.5020804728846997,105.08759558200836,DID NOT CONVERGE
pca_100,rbf,0.1,100,,1000,0.3592558258678764,0.5032263800967485,105.59250184008852,DID NOT CONVERGE
pca_100,rbf,0.1,1000,,1000,0.3615774321369827,0.5041147931478918,104.24960652203299,DID NOT CONVERGE
pca_100,rbf,1,0.001,,1000,0.35998236387968063,0.5059084889944643,42.20941692800261,DID NOT CONVERGE
pca_100,rbf,1,0.01,,1000,0.36125487997196615,0.503098496934399,88.54277686891146,DID NOT CONVERGE
pca_100,rbf,1,0.1,,1000,0.36082692281343043,0.5030966820195317,110.7630611481145,DID NOT CONVERGE
pca_100,rbf,1,1,,1000,0.36204597703181207,0.5086128730326891,116.03623733413406,DID NOT CONVERGE
pca_100,rbf,1,10,,1000,0.36075699399225414,0.5053805480711162,105.04090332100168,DID NOT CONVERGE
pca_100,rbf,1,100,,1000,0.36048373696394265,0.5036031699273735,105.11295621911995,DID NOT CONVERGE
pca_100,rbf,1,1000,,1000,0.36037658085115254,0.5020536831580102,109.51045069494285,DID NOT CONVERGE
pca_100,rbf,10,0.001,,1000,0.3601209151092917,0.5066398859489709,27.343822486931458,DID NOT CONVERGE
pca_100,rbf,10,0.01,,1000,0.3598240080755204,0.5044764711055905,89.42679549497552,DID NOT CONVERGE
pca_100,rbf,10,0.1,,1000,0.36975680594332516,0.5061003880109638,102.76592831197195,DID NOT CONVERGE
pca_100,rbf,10,1,,1000,0.36855719704180956,0.5015346719883382,118.98028903501108,DID NOT CONVERGE
pca_100,rbf,10,10,,1000,0.3600500850006938,0.5060965549200773,107.19365621800534,DID NOT CONVERGE
pca_100,rbf,10,100,,1000,0.3598639590200037,0.504077629884705,110.47053580195643,DID NOT CONVERGE
pca_100,rbf,10,1000,,1000,0.3605375289916992,0.5056150639429688,103.90213494980708,DID NOT CONVERGE
pca_100,rbf,100,0.001,,1000,0.36026823217980564,0.5042403130792081,24.17857073689811,DID NOT CONVERGE
pca_100,rbf,100,0.01,,1000,0.36013823305256665,0.5185727779753506,88.60186434397474,DID NOT CONVERGE
pca_100,rbf,100,0.1,,1000,0.38183274399489164,0.5060533529613167,102.8298553249333,DID NOT CONVERGE
pca_100,rbf,100,1,,1000,0.3703596289269626,0.5027988590300083,115.68216543202288,DID NOT CONVERGE
