dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time
pca_50,rbf,0.01,0.01,,1000,0.4785004600416869,0.5459277399349958,48.804634653031826
pca_50,rbf,0.01,0.1,,1000,0.48176058009266853,0.5441413370426744,49.08064415398985
pca_50,rbf,0.01,1,,1000,0.47874524211511016,0.5489858319051564,60.47822165302932
pca_50,rbf,0.01,10,,1000,0.48306877189315856,0.5459232828579843,49.892909872112796
pca_50,rbf,0.01,100,,1000,0.481785073177889,0.5465802119579166,49.32937091588974
pca_50,rbf,0.01,1000,,1000,0.4804885198827833,0.5444387788884342,49.33807947812602
pca_50,rbf,0.1,0.001,,1000,0.48161976924166083,0.5485095677431673,26.96664712508209
pca_50,rbf,0.1,0.01,,1000,0.4800862236879766,0.5617321680765599,46.51431098394096
pca_50,rbf,0.1,0.1,,1000,0.4833950959146023,0.5443818368948996,49.714134722948074
pca_50,rbf,0.1,1,,1000,0.48312935000285506,0.5446900161914527,61.39820306794718
pca_50,rbf,0.1,10,,1000,0.4839466919656843,0.5454751490615308,50.591691432055086
pca_50,rbf,0.1,100,,1000,0.4837680209893733,0.5449389682617038,50.01999177597463
pca_50,rbf,0.1,1000,,1000,0.4835499878972769,0.5451394298579544,50.06991660105996
pca_50,rbf,1,0.001,,1000,0.4858386651612818,0.5780421220697463,18.793610555119812
pca_50,rbf,1,0.01,,1000,0.4797603259794414,0.5462042042054236,37.02916794200428
pca_50,rbf,1,0.1,,1000,0.4836521630641073,0.5438946639187634,49.51341996202245
pca_50,rbf,1,1,,1000,0.4832536659669131,0.5453346439171582,61.59372701309621
pca_50,rbf,1,10,,1000,0.4847784040030092,0.5477298239711672,50.86779831792228
pca_50,rbf,1,100,,1000,0.4822527561336756,0.5444856230169535,50.291872966103256
pca_50,rbf,1,1000,,1000,0.48279149108566344,0.5420986940152943,50.31523702805862
pca_50,rbf,10,0.001,,1000,0.4837113139219582,0.5456002277787775,15.365274379961193
pca_50,rbf,10,0.01,,1000,0.4800667583476752,0.5280148829333484,34.145735695026815
pca_50,rbf,10,0.1,,1000,0.4834329979494214,0.5279077989980578,49.19488875800744
pca_50,rbf,10,1,,1000,0.482357915956527,0.5467695097904652,61.19421591190621
pca_50,rbf,10,10,,1000,0.48335495707578957,0.5481620379723608,50.41911824210547
pca_50,rbf,10,100,,1000,0.4828731210436672,0.5468373580370098,49.87157948198728
pca_50,rbf,10,1000,,1000,0.48226259695366025,0.5485167482402176,49.86618366907351
pca_50,rbf,100,0.001,,1000,0.48230437911115587,0.5458344030193985,12.918989233206958
pca_50,rbf,100,0.01,,1000,0.48336062603630126,0.5623711731750518,36.05985314096324
pca_50,rbf,100,0.1,,1000,0.4835027698427439,0.5494032092392445,55.04485904891044
pca_50,rbf,100,1,,1000,0.483348754234612,0.5485114839393646,66.62044273107313
pca_50,rbf,100,10,,1000,0.48447948694229126,0.5418038319330662,55.85188081720844
pca_50,rbf,100,100,,1000,0.4835813289973885,0.5466036160942167,55.19868347910233
pca_50,rbf,100,1000,,1000,0.4825773148331791,0.5450547181535512,55.17722405400127
pca_50,rbf,1000,0.001,,1000,0.4829677138477564,0.5491566059645265,14.195521089946851
pca_50,rbf,1000,0.01,,1000,0.48346999497152865,0.5646562669426203,35.55869746604003
pca_50,rbf,1000,0.1,,1000,0.4827289688400924,0.5493962769396603,50.41012142202817
pca_50,rbf,1000,1,,1000,0.48230892792344093,0.5473336861468852,62.22113449103199
pca_50,rbf,1000,10,,1000,0.48299900186248124,0.5479777799919248,51.49247912107967
pca_50,rbf,1000,100,,1000,0.48283495707437396,0.5489355199970305,50.96625695889816
pca_50,rbf,1000,1000,,1000,0.4819135791622102,0.5463952990248799,50.97330068401061
pca_100,rbf,0.001,0.001,,1000,0.552786807063967,0.7098294459283352,103.73444233601913
pca_100,rbf,0.001,0.01,,1000,0.48248237487860024,0.7178301203530282,104.93797591794282
pca_100,rbf,0.001,0.1,,1000,0.48329376499168575,0.7115232751239091,104.34772692318074
pca_100,rbf,0.001,1,,1000,0.4834485547617078,0.7125023319385946,116.21075509604998
pca_100,rbf,0.001,10,,1000,0.48354489589110017,0.713142957072705,105.23882530489936
pca_100,rbf,0.001,100,,1000,0.4837110701482743,0.7164948901627213,106.52777526713908
pca_100,rbf,0.001,1000,,1000,0.49516993178986013,0.7132954839617014,105.30019838316366
pca_100,rbf,0.01,0.001,,1000,0.4834656761959195,0.725729479920119,98.17398247402161
pca_100,rbf,0.01,0.01,,1000,0.4838537750765681,0.7107507572509348,104.35589477303438
pca_100,rbf,0.01,0.1,,1000,0.484002323821187,0.7105871741659939,103.9665613360703
pca_100,rbf,0.01,1,,1000,0.48302579089067876,0.7257288829423487,114.80308248498477
pca_100,rbf,0.01,10,,1000,0.4827271031681448,0.7133286688476801,105.18625709298067
pca_100,rbf,0.01,100,,1000,0.4837087660562247,0.7130477530881763,105.25850553694181
pca_100,rbf,0.01,1000,,1000,0.4831857190001756,0.7161776279099286,105.01289639994502
pca_100,rbf,0.1,0.001,,1000,0.48461224394850433,0.7146350617986172,58.49945199792273
pca_100,rbf,0.1,0.01,,1000,0.4830348917748779,0.7269562359433621,102.41644373699091
pca_100,rbf,0.1,0.1,,1000,0.48394109797663987,0.7140919859521091,105.35479877796024
pca_100,rbf,0.1,1,,1000,0.4854099319782108,0.7105106678791344,114.92149214004166
pca_100,rbf,0.1,10,,1000,0.4832299128174782,0.7113709538243711,105.16554703889415
pca_100,rbf,0.1,100,,1000,0.48363469913601875,0.7143996090162545,104.9567309920676
pca_100,rbf,0.1,1000,,1000,0.4846155608538538,0.7242802921682596,104.98594804108143
pca_100,rbf,1,0.001,,1000,0.4847301719710231,0.7172298298683017,40.1610744970385
pca_100,rbf,1,0.01,,1000,0.48372665303759277,0.713655096013099,85.62719393218867
pca_100,rbf,1,0.1,,1000,0.48310793563723564,0.7102404739707708,103.38092374103144
pca_100,rbf,1,1,,1000,0.48328606504946947,0.7078474920708686,115.6051957050804
pca_100,rbf,1,10,,1000,0.4832578899804503,0.7108694908674806,105.19448887812905
pca_100,rbf,1,100,,1000,0.4827879990916699,0.7133726931642741,108.64143585297279
pca_100,rbf,1,1000,,1000,0.4837971958331764,0.7201787778176367,105.08336545480415
pca_100,rbf,10,0.001,,1000,0.4829657939262688,0.7238975930958986,31.441005463013425
pca_100,rbf,10,0.01,,1000,0.4841086647938937,0.7150305698160082,82.82221469399519
pca_100,rbf,10,0.1,,1000,0.4830794020090252,0.7125455029308796,103.40049150097184
pca_100,rbf,10,1,,1000,0.48434495809488,0.7155832669232041,114.62525789509527
pca_100,rbf,10,10,,1000,0.4930311681237072,0.7134044899139553,104.82453783415258
pca_100,rbf,10,100,,1000,0.48315878794528544,0.7162110779900104,105.23154320195317
pca_100,rbf,10,1000,,1000,0.4845817091409117,0.7257733137812465,104.71963327703997
pca_100,rbf,100,0.001,,1000,0.4839399999473244,0.7169246200937778,27.956285852007568
pca_100,rbf,100,0.01,,1000,0.48413325985893607,0.7352644379716367,82.53058529901318
pca_100,rbf,100,0.1,,1000,0.48604614683426917,0.7134279480669647,103.62352683907375
pca_100,rbf,100,1,,1000,0.48315915605053306,0.7105898840818554,114.36959414114244
pca_100,rbf,100,10,,1000,0.48376678209751844,0.7201554861385375,107.5842322090175
pca_100,rbf,100,100,,1000,0.486350832041353,0.7200274909846485,105.16649255109951
pca_100,rbf,100,1000,,1000,0.4866801998578012,0.7378727209288627,108.25797483092174
pca_100,rbf,1000,0.001,,1000,0.4846070508938283,0.717929796082899,27.553113523172215
pca_100,rbf,1000,0.01,,1000,0.483432610752061,0.7262329591903836,84.3290903728921
pca_100,rbf,1000,0.1,,1000,0.48366243415512145,0.7134862928651273,104.67847693292424
pca_100,rbf,1000,1,,1000,0.48652983573265374,0.7133929531555623,115.24397475994192
pca_100,rbf,1000,10,,1000,0.48563966411165893,0.7156398410443217,105.53171187103726
pca_100,rbf,1000,100,,1000,0.4824319889303297,0.7142313129734248,105.20143746607937
pca_100,rbf,1000,1000,,1000,0.48410466709174216,0.7183550139889121,104.57429626584053
pca_200,rbf,0.001,0.001,,1000,0.5553466058336198,0.8558493459131569,145.21036145696416
pca_200,rbf,0.001,0.01,,1000,0.48358382377773523,0.8464367520064116,145.48218939895742
pca_200,rbf,0.001,0.1,,1000,0.48377141705714166,0.8821170390583575,146.00089052086696
pca_200,rbf,0.001,1,,1000,0.48362080403603613,0.8503099009394646,159.14444814110175
pca_200,rbf,0.001,10,,1000,0.4837815989740193,0.845739521086216,147.70403800485656
pca_200,rbf,0.001,100,,1000,0.48287423490546644,0.8498071420472115,147.57214099611156
pca_200,rbf,0.001,1000,,1000,0.4836932679172605,0.8459511776454747,147.73518965998664
pca_200,rbf,0.01,0.001,,1000,0.483800278743729,0.8548539800103754,139.33002457697876
