dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time,converged
pca_50,linear,0.001,,,1000,0.3660674940329045,0.41800397192128,17.459419187856838,DID NOT CONVERGE
pca_50,linear,0.01,,,1000,0.3820127050857991,0.392723361030221,12.479334017960355,DID NOT CONVERGE
pca_50,linear,0.1,,,1000,0.37092197500169277,0.3938447379041463,9.12102705403231,DID NOT CONVERGE
pca_50,linear,1,,,1000,0.36461315187625587,0.40972010302357376,9.388427581172436,DID NOT CONVERGE
pca_50,linear,10,,,1000,0.3643530469853431,0.41109379497356713,8.770999007159844,DID NOT CONVERGE
pca_50,linear,100,,,1000,0.3637573670130223,0.4329751650802791,9.600851902971044,DID NOT CONVERGE
pca_50,linear,1000,,,1000,0.3662700040731579,0.43291657813824713,9.491203904850408,DID NOT CONVERGE
pca_100,linear,0.001,,,1000,0.3608742218930274,0.49854746204800904,34.755939736030996,DID NOT CONVERGE
pca_100,linear,0.01,,,1000,0.376205971930176,0.4924737769179046,27.68611924094148,DID NOT CONVERGE
pca_100,linear,0.1,,,1000,0.3650450080167502,0.5054136291146278,21.283780182013288,DID NOT CONVERGE
pca_100,linear,1,,,1000,0.3662134208716452,0.5138535909354687,21.02170086512342,DID NOT CONVERGE
pca_100,linear,10,,,1000,0.37602248997427523,0.5157464509829879,21.680299065075815,DID NOT CONVERGE
pca_100,linear,100,,,1000,0.37499945401214063,0.5138313081115484,21.12160333688371,DID NOT CONVERGE
pca_100,linear,1000,,,1000,0.36548305000178516,0.5140712100546807,21.23133515380323,DID NOT CONVERGE
pca_200,linear,0.001,,,1000,0.4041097778826952,0.5843729320913553,49.77900705602951,DID NOT CONVERGE
pca_200,linear,0.01,,,1000,0.36604165681637824,0.567223162855953,37.69002454006113,DID NOT CONVERGE
pca_200,linear,0.1,,,1000,0.36158668296411633,0.5690197688527405,30.59730985504575,DID NOT CONVERGE
pca_200,linear,1,,,1000,0.36406153510324657,0.5815707889851183,30.64447774598375,DID NOT CONVERGE
pca_200,linear,10,,,1000,0.3641704728361219,0.5796830919571221,30.59552585799247,DID NOT CONVERGE
pca_200,linear,100,,,1000,0.36572488211095333,0.5808017160743475,30.55334745021537,DID NOT CONVERGE
pca_200,linear,1000,,,1000,0.36391271906904876,0.5880660561379045,30.569710111944005,DID NOT CONVERGE
lda,linear,0.001,,,1000,0.4312440808862448,5.156808745115995,10.61508778296411,DID NOT CONVERGE
lda,linear,0.01,,,1000,0.3680864139460027,4.569730180082843,8.054114918923005,DID NOT CONVERGE
lda,linear,0.1,,,1000,0.3700937640387565,4.443866042885929,7.8257978048641235,DID NOT CONVERGE
lda,linear,1,,,1000,0.37061541294679046,4.385262273950502,6.049724068958312,DID NOT CONVERGE
lda,linear,10,,,1000,0.370110702002421,4.355405147885904,4.220340614207089,DID NOT CONVERGE
lda,linear,100,,,1000,0.37364322785288095,4.359593415167183,3.9450204698368907,DID NOT CONVERGE
lda,linear,1000,,,1000,0.37065512780100107,4.498466909164563,3.909690249012783,DID NOT CONVERGE
pca_50,rbf,0.001,0.001,,1000,0.43753445614129305,0.41796976001933217,48.70375338802114,DID NOT CONVERGE
pca_50,rbf,0.001,0.01,,1000,0.36322656087577343,0.4187873238697648,48.82741314009763,DID NOT CONVERGE
pca_50,rbf,0.001,0.1,,1000,0.36267736996524036,0.47769958921708167,49.07161799399182,DID NOT CONVERGE
pca_50,rbf,0.001,1,,1000,0.36300643300637603,0.41934952489100397,60.28475730190985,DID NOT CONVERGE
pca_50,rbf,0.001,10,,1000,0.3649898120202124,0.4201532769948244,49.90039508207701,DID NOT CONVERGE
pca_50,rbf,0.001,100,,1000,0.3654653278645128,0.4174225330352783,49.37707461719401,DID NOT CONVERGE
pca_50,rbf,0.001,1000,,1000,0.36585402791388333,0.41735845408402383,49.34375104517676,DID NOT CONVERGE
pca_50,rbf,0.01,0.001,,1000,0.36563032399863005,0.4176380911376327,45.46696778992191,DID NOT CONVERGE
pca_50,rbf,0.01,0.01,,1000,0.3628976629115641,0.4189563610125333,48.804634653031826,DID NOT CONVERGE
pca_50,rbf,0.01,0.1,,1000,0.365468786098063,0.41743535199202597,49.08064415398985,DID NOT CONVERGE
pca_50,rbf,0.01,1,,1000,0.36323555605486035,0.42188330204226077,60.47822165302932,DID NOT CONVERGE
pca_50,rbf,0.01,10,,1000,0.3665932398289442,0.4193038248922676,49.892909872112796,DID NOT CONVERGE
pca_50,rbf,0.01,100,,1000,0.36605336610227823,0.4192208219319582,49.32937091588974,DID NOT CONVERGE
pca_50,rbf,0.01,1000,,1000,0.36557566188275814,0.41776419896632433,49.33807947812602,DID NOT CONVERGE
pca_50,rbf,0.1,0.001,,1000,0.36544016911648214,0.41805140394717455,26.96664712508209,DID NOT CONVERGE
pca_50,rbf,0.1,0.01,,1000,0.3649582078214735,0.434697155142203,46.51431098394096,DID NOT CONVERGE
pca_50,rbf,0.1,0.1,,1000,0.36780889402143657,0.4185817949473858,49.714134722948074,DID NOT CONVERGE
pca_50,rbf,0.1,1,,1000,0.36737705091945827,0.41533115203492343,61.39820306794718,DID NOT CONVERGE
pca_50,rbf,0.1,10,,1000,0.36812074296176434,0.41871265694499016,50.591691432055086,DID NOT CONVERGE
pca_50,rbf,0.1,100,,1000,0.36677912599407136,0.4187485270667821,50.01999177597463,DID NOT CONVERGE
pca_50,rbf,0.1,1000,,1000,0.3671388509683311,0.41871820599772036,50.06991660105996,DID NOT CONVERGE
pca_50,rbf,1,0.001,,1000,0.3695126520469785,0.4514684600289911,18.793610555119812,DID NOT CONVERGE
pca_50,rbf,1,0.01,,1000,0.3637175860349089,0.4199899770319462,37.02916794200428,DID NOT CONVERGE
pca_50,rbf,1,0.1,,1000,0.36696984502486885,0.417272767983377,49.51341996202245,DID NOT CONVERGE
pca_50,rbf,1,1,,1000,0.36622350197285414,0.4180579390376806,61.59372701309621,DID NOT CONVERGE
pca_50,rbf,1,10,,1000,0.366844394011423,0.42002993496134877,50.86779831792228,DID NOT CONVERGE
pca_50,rbf,1,100,,1000,0.36631394107826054,0.4173654289916158,50.291872966103256,DID NOT CONVERGE
pca_50,rbf,1,1000,,1000,0.3668191251344979,0.4174302611500025,50.31523702805862,DID NOT CONVERGE
pca_50,rbf,10,0.001,,1000,0.36751082190312445,0.41836716583929956,15.365274379961193,DID NOT CONVERGE
pca_50,rbf,10,0.01,,1000,0.36441809916868806,0.3993973669130355,34.145735695026815,DID NOT CONVERGE
pca_50,rbf,10,0.1,,1000,0.36716353916563094,0.39907192694954574,49.19488875800744,DID NOT CONVERGE
pca_50,rbf,10,1,,1000,0.366348427021876,0.4190298228058964,61.19421591190621,DID NOT CONVERGE
pca_50,rbf,10,10,,1000,0.3671256641391665,0.4206965691410005,50.41911824210547,DID NOT CONVERGE
pca_50,rbf,10,100,,1000,0.3670853648800403,0.41901540802791715,49.87157948198728,DID NOT CONVERGE
pca_50,rbf,10,1000,,1000,0.3662464648950845,0.42091085808351636,49.86618366907351,DID NOT CONVERGE
pca_50,rbf,100,0.001,,1000,0.366807236103341,0.4185259030200541,12.918989233206958,DID NOT CONVERGE
pca_50,rbf,100,0.01,,1000,0.3669901299290359,0.4343428371939808,36.05985314096324,DID NOT CONVERGE
pca_50,rbf,100,0.1,,1000,0.36810816801153123,0.42276346520520747,55.04485904891044,DID NOT CONVERGE
pca_50,rbf,100,1,,1000,0.3672331250272691,0.4205568260513246,66.62044273107313,DID NOT CONVERGE
pca_50,rbf,100,10,,1000,0.3678814370650798,0.420134267071262,55.85188081720844,DID NOT CONVERGE
pca_50,rbf,100,100,,1000,0.36685607791878283,0.41875827591866255,55.19868347910233,DID NOT CONVERGE
pca_50,rbf,100,1000,,1000,0.3668871778063476,0.41767881205305457,55.17722405400127,DID NOT CONVERGE
pca_50,rbf,1000,0.001,,1000,0.36702728690579534,0.42070017801597714,14.195521089946851,DID NOT CONVERGE
pca_50,rbf,1000,0.01,,1000,0.3672416009940207,0.4369372189976275,35.55869746604003,DID NOT CONVERGE
pca_50,rbf,1000,0.1,,1000,0.36700666788965464,0.4218353400938213,50.41012142202817,DID NOT CONVERGE
pca_50,rbf,1000,1,,1000,0.36656078696250916,0.4192907309625298,62.22113449103199,DID NOT CONVERGE
pca_50,rbf,1000,10,,1000,0.3667506598867476,0.42002527695149183,51.49247912107967,DID NOT CONVERGE
pca_50,rbf,1000,100,,1000,0.3674355160910636,0.4203403820283711,50.96625695889816,DID NOT CONVERGE
pca_50,rbf,1000,1000,,1000,0.36608062009327114,0.4186356260906905,50.97330068401061,DID NOT CONVERGE
pca_100,rbf,0.001,0.001,,1000,0.43640387896448374,0.5010838790331036,103.73444233601913,DID NOT CONVERGE
pca_100,rbf,0.001,0.01,,1000,0.3667736498173326,0.5086804921738803,104.93797591794282,DID NOT CONVERGE
pca_100,rbf,0.001,0.1,,1000,0.36714094993658364,0.5006735629867762,104.34772692318074,DID NOT CONVERGE
pca_100,rbf,0.001,1,,1000,0.36726869083940983,0.5020194728858769,116.21075509604998,DID NOT CONVERGE
pca_100,rbf,0.001,10,,1000,0.36716828402131796,0.5027041770517826,105.23882530489936,DID NOT CONVERGE
pca_100,rbf,0.001,100,,1000,0.3680051201954484,0.508433401118964,106.52777526713908,DID NOT CONVERGE
pca_100,rbf,0.001,1000,,1000,0.3690585058648139,0.5035203739535064,105.30019838316366,DID NOT CONVERGE
pca_100,rbf,0.01,0.001,,1000,0.3674903940409422,0.5046048229560256,98.17398247402161,DID NOT CONVERGE
pca_100,rbf,0.01,0.01,,1000,0.36748537607491016,0.5020466721616685,104.35589477303438,DID NOT CONVERGE
pca_100,rbf,0.01,0.1,,1000,0.3680554968304932,0.499773503979668,103.9665613360703,DID NOT CONVERGE
pca_100,rbf,0.01,1,,1000,0.3665212979540229,0.5150119620375335,114.80308248498477,DID NOT CONVERGE
pca_100,rbf,0.01,10,,1000,0.36658930708654225,0.5044431108981371,105.18625709298067,DID NOT CONVERGE
pca_100,rbf,0.01,100,,1000,0.36687076510861516,0.5037393129896373,105.25850553694181,DID NOT CONVERGE
pca_100,rbf,0.01,1000,,1000,0.3674222610425204,0.5058691410813481,105.01289639994502,DID NOT CONVERGE
pca_100,rbf,0.1,0.001,,1000,0.36891654995270073,0.5061688928399235,58.49945199792273,DID NOT CONVERGE
pca_100,rbf,0.1,0.01,,1000,0.3667305619455874,0.5148798800073564,102.41644373699091,DID NOT CONVERGE
pca_100,rbf,0.1,0.1,,1000,0.3677220409736037,0.5025560089852661,105.35479877796024,DID NOT CONVERGE
pca_100,rbf,0.1,1,,1000,0.3673851729836315,0.5030386699363589,114.92149214004166,DID NOT CONVERGE
pca_100,rbf,0.1,10,,1000,0.36682532681152225,0.5020897719077766,105.16554703889415,DID NOT CONVERGE
pca_100,rbf,0.1,100,,1000,0.3674283460713923,0.5043458750005811,104.9567309920676,DID NOT CONVERGE
pca_100,rbf,0.1,1000,,1000,0.36891856184229255,0.5131564191542566,104.98594804108143,DID NOT CONVERGE
pca_100,rbf,1,0.001,,1000,0.36819623899646103,0.5051190468948334,40.1610744970385,DID NOT CONVERGE
pca_100,rbf,1,0.01,,1000,0.3674096339382231,0.5007512660231441,85.62719393218867,DID NOT CONVERGE
pca_100,rbf,1,0.1,,1000,0.36668316880241036,0.5023058280348778,103.38092374103144,DID NOT CONVERGE
pca_100,rbf,1,1,,1000,0.3667203229852021,0.49804066703654826,115.6051957050804,DID NOT CONVERGE
pca_100,rbf,1,10,,1000,0.36685860296711326,0.5030739200301468,105.19448887812905,DID NOT CONVERGE
pca_100,rbf,1,100,,1000,0.36643608193844557,0.5046524431090802,108.64143585297279,DID NOT CONVERGE
pca_100,rbf,1,1000,,1000,0.3672692228574306,0.5128761739470065,105.08336545480415,DID NOT CONVERGE
pca_100,rbf,10,0.001,,1000,0.36701638298109174,0.5136239409912378,31.441005463013425,DID NOT CONVERGE
pca_100,rbf,10,0.01,,1000,0.3676611219998449,0.505202884785831,82.82221469399519,DID NOT CONVERGE
pca_100,rbf,10,0.1,,1000,0.3671645049471408,0.5048163868486881,103.40049150097184,DID NOT CONVERGE
pca_100,rbf,10,1,,1000,0.3671077690087259,0.5065416430588812,114.62525789509527,DID NOT CONVERGE
pca_100,rbf,10,10,,1000,0.3674111601430923,0.5040246788412333,104.82453783415258,DID NOT CONVERGE
pca_100,rbf,10,100,,1000,0.3673716939520091,0.5057520850095898,105.23154320195317,DID NOT CONVERGE
pca_100,rbf,10,1000,,1000,0.36792123410850763,0.5136264988686889,104.71963327703997,DID NOT CONVERGE
pca_100,rbf,100,0.001,,1000,0.36730380496010184,0.5060218391008675,27.956285852007568,DID NOT CONVERGE
pca_100,rbf,100,0.01,,1000,0.3676093879621476,0.521649758098647,82.53058529901318,DID NOT CONVERGE
pca_100,rbf,100,0.1,,1000,0.3697767839767039,0.5025551510043442,103.62352683907375,DID NOT CONVERGE
pca_100,rbf,100,1,,1000,0.36688924790360034,0.5024662620853633,114.36959414114244,DID NOT CONVERGE
pca_100,rbf,100,10,,1000,0.36785667994990945,0.5083573011215776,107.5842322090175,DID NOT CONVERGE
pca_100,rbf,100,100,,1000,0.3702484010718763,0.5076113999821246,105.16649255109951,DID NOT CONVERGE
pca_100,rbf,100,1000,,1000,0.3703703379724175,0.5240666558966041,108.25797483092174,DID NOT CONVERGE
pca_100,rbf,1000,0.001,,1000,0.3680370629299432,0.5060763431247324,27.553113523172215,DID NOT CONVERGE
pca_100,rbf,1000,0.01,,1000,0.3674596529453993,0.5158758179750293,84.3290903728921,DID NOT CONVERGE
pca_100,rbf,1000,0.1,,1000,0.3671909610275179,0.5017257139552385,104.67847693292424,DID NOT CONVERGE
pca_100,rbf,1000,1,,1000,0.36899132188409567,0.5034393251407892,115.24397475994192,DID NOT CONVERGE
pca_100,rbf,1000,10,,1000,0.3690909801516682,0.5038026089314371,105.53171187103726,DID NOT CONVERGE
pca_100,rbf,1000,100,,1000,0.36629259097389877,0.5041621369309723,105.20143746607937,DID NOT CONVERGE
pca_100,rbf,1000,1000,,1000,0.36764888814650476,0.5086196640040725,104.57429626584053,DID NOT CONVERGE
pca_200,rbf,0.001,0.001,,1000,0.4395758949685842,0.5755791119299829,145.21036145696416,DID NOT CONVERGE
pca_200,rbf,0.001,0.01,,1000,0.36748661985620856,0.5723915360867977,145.48218939895742,DID NOT CONVERGE
pca_200,rbf,0.001,0.1,,1000,0.36785395396873355,0.6031590020284057,146.00089052086696,DID NOT CONVERGE
pca_200,rbf,0.001,1,,1000,0.3671214389614761,0.5719208649825305,159.14444814110175,DID NOT CONVERGE
pca_200,rbf,0.001,10,,1000,0.3674020238686353,0.5676392640452832,147.70403800485656,DID NOT CONVERGE
pca_200,rbf,0.001,100,,1000,0.3673062219750136,0.5703857520129532,147.57214099611156,DID NOT CONVERGE
pca_200,rbf,0.001,1000,,1000,0.3672689669765532,0.5665358367841691,147.73518965998664,DID NOT CONVERGE
pca_200,rbf,0.01,0.001,,1000,0.3676131688989699,0.571920711081475,139.33002457697876,DID NOT CONVERGE
pca_200,rbf,0.01,0.01,,1000,0.36901514790952206,0.5692117111757398,145.26914350804873,DID NOT CONVERGE
pca_200,rbf,0.01,0.1,,1000,0.3676518101710826,0.5722244179341942,146.04976277891546,DID NOT CONVERGE
pca_200,rbf,0.01,1,,1000,0.36790058691985905,0.5677516909781843,159.20724581903778,DID NOT CONVERGE
pca_200,rbf,0.01,10,,1000,0.3676519289147109,0.5729317038785666,147.74515565903857,DID NOT CONVERGE
pca_200,rbf,0.01,100,,1000,0.36749540688470006,0.5738956111017615,147.71817362192087,DID NOT CONVERGE
pca_200,rbf,0.01,1000,,1000,0.3688826391007751,0.5694394549354911,147.58467748505063,DID NOT CONVERGE
pca_200,rbf,0.1,0.001,,1000,0.3673096091952175,0.5717026449274272,84.61677319300361,DID NOT CONVERGE
pca_200,rbf,0.1,0.01,,1000,0.3671685950830579,0.5722696390002966,145.27472282201052,DID NOT CONVERGE
pca_200,rbf,0.1,0.1,,1000,0.36777896899729967,0.5702021720353514,146.04880040395074,DID NOT CONVERGE
pca_200,rbf,0.1,1,,1000,0.3668525218963623,0.5665905978530645,159.46794345602393,DID NOT CONVERGE
pca_200,rbf,0.1,10,,1000,0.36796187213622034,0.5784632370341569,147.82499323715456,DID NOT CONVERGE
pca_200,rbf,0.1,100,,1000,0.3682258001063019,0.5403109870385379,147.8464822419919,DID NOT CONVERGE
pca_200,rbf,0.1,1000,,1000,0.36676154588349164,0.5699432420078665,147.54791078693233,DID NOT CONVERGE
pca_200,rbf,1,0.001,,1000,0.36745668295770884,0.5697521090041846,57.89145305217244,DID NOT CONVERGE
pca_200,rbf,1,0.01,,1000,0.368253530934453,0.5837660769466311,127.30297544808127,DID NOT CONVERGE
pca_200,rbf,1,0.1,,1000,0.3671223728451878,0.5723608990665525,145.43716370710172,DID NOT CONVERGE
