Close,High,Low,Open,Volume
MSFT,MSFT,MSFT,MSFT,MSFT
152.15838623046875,152.2625919076215,149.9890318942147,150.4153225898607,22622100
150.26377868652344,151.52371505612567,149.73328220562672,149.97959446814662,21116200
150.65216064453125,150.718479922249,148.26491238072057,148.80489122518964,20813700
149.27854919433594,151.25844269298102,149.03225142604057,150.92688967276914,21634100
151.65631103515625,152.32891395537885,149.62904874222338,150.55741741152548,27746500
153.55096435546875,153.67412047600544,152.5468083247831,153.31413455747898,21385000
152.84048461914062,154.62144943814087,152.68891006966302,154.2425275193915,20725900
154.67828369140625,154.70670211208954,152.76469478737948,153.23835440536027,21626500
153.58883666992188,154.98139677965818,153.20043240422595,154.7824534261497,23477400
154.5835418701172,155.30351372144347,154.00569102831227,154.05304542489407,21417900
157.416015625,157.48233490143087,155.38875329683958,155.6919023520506,23865400
158.2970428466797,158.64754632231816,156.71500707487465,158.60017747170502,34371700
157.7286376953125,159.32960936368943,157.66231841676765,157.89914820309696,29517200
156.97079467773438,158.66650420670973,156.9518442456102,158.58123448962317,24138800
157.9370574951172,158.0128447653816,156.56344755206595,157.43497947769117,19680800
156.3455352783203,158.7043650014878,155.7866204878923,158.6854145724222,24918100
153.73092651367188,154.7729831980211,151.76050125459204,152.6604514156532,32078100
156.7434539794922,157.02763819872118,154.47936148498258,155.1519500770846,24899900
159.18746948242188,159.86007229491779,156.96127863009366,158.9980085840233,34754500
163.67776489257812,164.88086399079006,161.79259500285548,164.88086399079006,51597500
161.26214599609375,163.31782695899412,160.64639428803872,163.13784845021453,36142700
165.19351196289062,165.30718563115278,161.4231714761802,161.45158989324574,30107000
170.63108825683594,171.12369816863662,167.02180529379913,167.8080817735197,36433300
170.4227294921875,174.4962052107413,169.01123304263785,174.33516267075652,39186300
173.9562225341797,174.13621548794777,170.5742861837626,171.43635009131322,27751400
174.20254516601562,175.85088594864706,172.86682148638042,173.21733945607366,33529100
178.75914001464844,178.89176413177015,173.59625298069977,173.90887006854624,35844300
174.72352600097656,180.65373798592051,173.83304379083776,180.60636914294562,53159900
174.97935485839844,176.05929828587423,172.27002107298435,175.80351802661943,47062900
174.03199768066406,176.4192313976913,173.2362386533794,173.4351820239361,35295800
175.58560180664062,175.64243864012167,173.0278286604553,173.59622590515036,23149500
177.3665313720703,177.81177245607944,175.72767355823675,175.83187922587592,27792200
177.89849853515625,178.75340863724387,177.12907654439266,178.63942448881184,29997500
175.1817626953125,177.86999994787422,172.0280805137108,177.5850250864562,36862400
169.64381408691406,174.30785891305882,168.3709427375459,173.99438799966083,48572600
162.3295440673828,165.80620582569023,155.05325577394382,159.36584000819616,68311100
159.6508026123047,166.08165959218329,159.25182910172236,165.47371997311936,68073300
161.64559936523438,164.58080718946448,159.78379060390208,161.20865045967483,56206100
150.25625610351562,158.66293738547222,150.066277635527,155.13879114683465,93174900
153.89439392089844,155.5092470603951,144.3858321653702,144.77529742816304,97012700
164.13438415527344,164.25787667339787,154.1793652796082,157.02908558517254,71030800
156.26913452148438,166.23366029061174,154.13184460346224,165.09377523321822,71677000
162.00657653808594,162.14905673296266,157.32352937599967,160.04977122484704,49814400
157.9409637451172,162.31052511256803,157.39001621509487,157.73198314771483,47817300
153.4764404296875,154.939290445947,148.1854528791767,154.46433707133426,72821100
143.07496643066406,149.84780697195592,142.48602881643987,143.43593567521614,70419300
152.85894775390625,152.96343804561613,144.9367312551031,150.23721110885253,65354400
145.93414306640625,149.8002550593637,143.57836446468625,149.25881588095203,56371600
132.093994140625,145.78215013607596,131.6380430840003,138.0214158544372,93226400
150.87364196777344,153.799355549348,133.68032956461008,140.1112002373312,92727400
128.63636779785156,141.86857610037168,128.2374087100847,132.98694236601375,87905900
139.22779846191406,140.11120452293932,128.2373736311648,132.9869059878746,81059800
133.3668975830078,138.68638100850166,128.2564092897263,131.08712725461115,81593200
135.56121826171875,142.62851332778473,132.0370573323498,135.6182103558471,85922700
130.4696807861328,139.73127038304972,129.0543146964059,138.6863672974225,84866200
129.16831970214844,133.52840283190852,125.88165036490473,130.14672252460196,78975200
